"","x"
"63","@jbminn @ariadneconill @QuinnyPig P.S., if these types of complex systems are an area of interest for you or someone you know, we're hiring ⬇️…

While I don't think that data science can be a control (and has to be used carefully to avoid amplifying inequity) I think might shine a light.
https://t.co/hr2hbVZp9K"
"64","@WillsBossyMom @politicalwilli So many people say of sports analysts ""You think you know everything"" but data science has taught me so much about uncertainty and now I see how so many people are certain of things there is no evidence for."
"65","@TheTradeLawGuy @DrJacobsRad I understand your point that it cuts back on hospitalization and death but do we know where are we heading? There’s no data/science to support that. Watch Dr. Faucci’s segment and think how we can have real world data when there’s no other country had done what we are doing. https://t.co/oAvg5ZHcdo"
"66","Think Like a Data Scientist: Tackle the data science process step-by-step #DataScience https://t.co/Ea7yTyk8D7"
"67","Think Like a Data Scientist: Tackle the data science process step-by-step #DataScience https://t.co/9WcI73Qtnr"
"68","Think Like a Data Scientist: Tackle the data science process step-by-step #DataScience https://t.co/Ea7yTyk8D7"
"69","Think Like a Data Scientist: Tackle the data science process step-by-step #DataScience https://t.co/Ea7yTyk8D7"
"70","Think Like a Data Scientist: Tackle the data science process step-by-step #DataScience https://t.co/9WcI73Qtnr"
"71","Last week on our DSaaS series, we looked at data science as a service. Let us know what you think it is? You can also head on to our #Instagram @emerge_iq or #LinkedIn #EMERGEiQ to find out! 

#DataScience #data #MachineLearning #ArtificialIntelligence #future"
"72","Think Like a Data Scientist: Tackle the data science process step-by-step #DataScience https://t.co/9WcI73Qtnr"
"73","No-code data science is easier than you think.  Learn how to start building models in minutes at our 3-day conference — completely free."
"74","If you want to be in data science, or in tech, where you live actually matters.

It's not the only thing that matters, but you need to think about the optimal city that will give you the most opportunity.

#datascience #technology https://t.co/41eGrdRm2Z"
"75","@Kathryn92796178 @palliddh @hartgroup_org @vetrissimo what evidence? Anecdotal? ""I sat next to a vaxxed person and now I'm late for my period"", however amusing. is not good data. Science is not progressed by rumour...otherwise we'd all still think the earth was flat."
"76","@HussainiMaina_ @NumFOCUS @PyData @matplotlib @numpy_team @NASA Sorry, you don't think the Numpy team get recognition? It's one of the most instantly recognisable libraries in all of programming if not just Data Science..."
"77","@Kathryn92796178 @palliddh @hartgroup_org @vetrissimo what evidence? Anecdotal? ""I sat next to a vaxxed person and now I'm late for my period"", however amusing. is not good data. Science is not progressed by rumour...otherwise we'd all still think the earth was flat."
"78","I'm mentoring a college student who's an econ major uncertain about her career direction. I think she needs to talk to folks w/ eco degrees who have non-Wall-Streetish jobs. Data science/analysis, behavioural research stuff, etc. Anyone wanna volunteer or make a connection?"
"79","I'm mentoring a college student who's an econ major uncertain about her career direction. I think she needs to talk to folks w/ eco degrees who have non-Wall-Streetish jobs. Data science/analysis, behavioural research stuff, etc. Anyone wanna volunteer or make a connection?"
"80","I'm mentoring a college student who's an econ major uncertain about her career direction. I think she needs to talk to folks w/ eco degrees who have non-Wall-Streetish jobs. Data science/analysis, behavioural research stuff, etc. Anyone wanna volunteer or make a connection?"
"81","@KevinColePFF I’ll definitely be a listener going forward, I’ve been reading a lot more data science articles on PFF and it’s fascinating stuff, the name Unexpected Points is good but I think your podcast might benefit from having more of a clear identity that people will click for"
"82","@rctatman Oh wow, #4 really strikes a cord.
I agree with you, but I need to mull over a possible alternative vocab word.
I joke that we aren't the data science team, we're the smart team that solves difficult/ impossible problems.  (We do ds and de) . Will need to think of short word alts."
"83","New cover idea for Elements of Data Science.

https://t.co/THmMVDGwks

(The cover wraps, so the left half is the back and the right half is the front)

What do we think? https://t.co/4WqIeV8Jup"
"84","Last week on our DSaaS series, we looked at data science as a service. Let us know what you think it is? You can also head on to our #Instagram @emerge_iq or #LinkedIn #EMERGEiQ to find out! 

#DataScience #data #MachineLearning #ArtificialIntelligence #future"
"85","@achalaugustine @makkenmac @AlecStapp Gosh, so love being mansplained to about science. As it happens, when you do this type of data comparisons, your first key comparison is to ""most similar"" entities. If you don't think so, tell me what your data science or biostat credentials are."
"86","data science is weird, sure that being corrected means more as functional statistic of your slow pace in learning than it does your open-mindedness. this i think is also why ai &amp; machine learning are so important to finesse accuracy out of hard to separate concepts in e-learning"
"87","@nntaleb Would also be interesting if you give a general overview on your thoughts about the differences between data science, statistics, machine learning and AI. Or if you think the difference between these terms is meaningless and marketing-driven."
"88","#NCDSMemberSpotlight: “Data science is integrated in subject matter and research programs across all 10 NC State colleges and is part of our think and do mindset. At @NCState, we believe #datascience is for everyone.” @NCState_DSI https://t.co/AxgUJv4ikZ"
"89","#AI Gets the Glory but ML is Quietly Making Fortunes
When we think about the future of #data #science, it’s easy to get carried away. For a couple of decades now, if you bel ..
https://t.co/Mggu8vKXUN https://t.co/VuCYw7jXLf"
"90","@OnFireAnders insert existential crisis here... i’m a data science student with hopes of working on emerging AI/ML technology like this... i always think you would still consciously be aware of entering a VR world even w/ insane detail, and no matter how long you’ve been in/on the VR world"
"91","#DataScience 
Data science is wide rang of spectrum let's commit explorer always to achieve goal...What do you think about and your point of is it valid opinian 👍 https://t.co/FGbcue1eE8"
"92","#DataScience 
Data science is wide rang of spectrum let's commit explorer always to achieve goal...What do you think about and your point of is it valid opinian 👍 https://t.co/FGbcue1eE8"
"93","New cover idea for Elements of Data Science.

https://t.co/THmMVDGwks

(The cover wraps, so the left half is the back and the right half is the front)

What do we think? https://t.co/4WqIeV8Jup"
"94","No-code data science is easier than you think.  Learn how to start building models in minutes at our 3-day conference — completely free."
"95","New cover idea for Elements of Data Science.

https://t.co/THmMVDGwks

(The cover wraps, so the left half is the back and the right half is the front)

What do we think? https://t.co/4WqIeV8Jup"
"96","I think I'll use this for NPA Data Science... 🤷‍♂️ https://t.co/bsiHVyxjqF"
"97","New cover idea for Elements of Data Science.

https://t.co/THmMVDGwks

(The cover wraps, so the left half is the back and the right half is the front)

What do we think? https://t.co/4WqIeV8Jup"
"98","@simonfa @chrispyking2 @barryonthefly @Mark_J_Perry @CHSommers You think poor people are unintelligent? Wow!
I lived in a caravan until I was 17 in abject poverty, I tried hard at college having gotten no where in school, eventually I got through university gaining a MSc in Computer Science. I now run the Data Science group in my workplace."
"99","@TewksHitting You’d think an academically esteemed institute would value measurable &amp; actionable data that can be used to make more precise decision on player &amp; program development. If nothing else data science students could use the information to further real world education &amp; experience"
"100","New cover idea for Elements of Data Science.

https://t.co/THmMVDGwks

(The cover wraps, so the left half is the back and the right half is the front)

What do we think? https://t.co/4WqIeV8Jup"
"101","New cover idea for Elements of Data Science.

https://t.co/THmMVDGwks

(The cover wraps, so the left half is the back and the right half is the front)

What do we think? https://t.co/4WqIeV8Jup"
"102","Probably unpopular opinion, but I think it’s great. Basic stats and data science is probably more broadly relevant than calculus these days. Plus it sounds refreshing, and if done well, it will make school much more fun and help with data literacy :) https://t.co/N5jBadxW5O"
"103","New cover idea for Elements of Data Science.

https://t.co/THmMVDGwks

(The cover wraps, so the left half is the back and the right half is the front)

What do we think? https://t.co/4WqIeV8Jup"
"104","New cover idea for Elements of Data Science.

https://t.co/THmMVDGwks

(The cover wraps, so the left half is the back and the right half is the front)

What do we think? https://t.co/4WqIeV8Jup"
"105","New cover idea for Elements of Data Science.

https://t.co/THmMVDGwks

(The cover wraps, so the left half is the back and the right half is the front)

What do we think? https://t.co/4WqIeV8Jup"
"106","New cover idea for Elements of Data Science.

https://t.co/THmMVDGwks

(The cover wraps, so the left half is the back and the right half is the front)

What do we think? https://t.co/4WqIeV8Jup"
"107","New cover idea for Elements of Data Science.

https://t.co/THmMVDGwks

(The cover wraps, so the left half is the back and the right half is the front)

What do we think? https://t.co/4WqIeV8Jup"
"108","If you want to learn more about what I do at @Zymergen and how we think about data science, see our new blog post! If it sounds interesting, we’re hiring! https://t.co/RhJoR8cNze"
"109","@pankaj @lintool @aneeshs @squarecog I think the novelty effect wore off years ago. Now sentiment-analysis-on-tweets is homework #2 in beginner data science curriculum, just after intro-to-pandas"
"110","Very excited to see @InmonBill at @Data_AI_Summit! Data architecture is more important than ever and it will be exciting to hear how to think about it for modern challenges including data science, massive unstructured datasets, and cloud environments. https://t.co/GM1uOzJEeG"
"111","@nathanbroon Indeed. I think this is true for the process of science as a whole (and what it's what I like about it). In data science the iterations just come at a faster rate compared to other fields."
"112","@skepteis I’ll go off on one on this. I think our exploratory and interactive data science indirectly gives us the answers we want by iteratively refining and changing our questions of the data. We don’t really know what we want when we start."
"113","@Iyervval Finding relevant data from such a huge data set is a challenge even for a trained statistician or data scientist.
If some journalists think they can easily come out with statistics, govt and big IT should be shutting down all data science departments.

n/n"
"114","@brianros1 @Tommers71 Understandable. But I do think there’s a difference between ignoring data/science and ignoring bureaucratic “experts”.

Unfortunately, those very experts ignore the data and science themselves for political reasons. EG, the CDC summer camp guidances and school openings."
"115","@DrAnneCarpenter @markowetzlab I think part of the problem is that computational biology /bioinformatics has no academic home. It was chopped up between biology, computer science, stats, applied math, physics or even more recently stats -&gt; data science !  Without Dept of Comp Biol, it lacks identity."
"116","@SouadH9 @kareem_carr Yea I understand a lot of data science don't feel the benefits by learning more comp sci. I reject this because what I end up seeing a lot are folks who see everything as tables, who write inefficient algos to retrieve data, use memory and don't really think about concurrency..."
"117","So why do #DataScientists think that stats is dead?
Where does the notion that there is no longer any need for #statisticalanalysis come from?
And are they right?
https://t.co/gBcPivkSTO https://t.co/m44QjhhCQw"
"118","Why do #DataScientists think that #stats is dead?
https://t.co/gBcPivkSTO https://t.co/fEJYuS5L7i"
"119","I think PyCaret is going to be the next sklearn for ML and data science in Python."
"120","Very excited to see @InmonBill at @Data_AI_Summit! Data architecture is more important than ever and it will be exciting to hear how to think about it for modern challenges including data science, massive unstructured datasets, and cloud environments. https://t.co/GM1uOzJEeG"
"121","Very excited to see @InmonBill at @Data_AI_Summit! Data architecture is more important than ever and it will be exciting to hear how to think about it for modern challenges including data science, massive unstructured datasets, and cloud environments. https://t.co/GM1uOzJEeG"
"122","Librarians who support Data Science: What information literacy / scholarly communication / information landscape topics broadly defined do you think masters students need to know? Both while they are in their program but also after they graduate?"
"123","@JackPosobiec of course. there are so many woke think tanks on the left, you can be sure everything that comes out of a dem's mouth or a journalist's keyboard is the result of woke partisan data science."
"124","Probably unpopular opinion, but I think it’s great. Basic stats and data science is probably more broadly relevant than calculus these days. Plus it sounds refreshing, and if done well, it will make school much more fun and help with data literacy :) https://t.co/N5jBadxW5O"
"125","@PutOnUrMask You are intellectual by the way you look and think about things. The way you deal with stuff and being smart about your ideology. This is how to be a proper intellectual. 
To show people that you are intellectual, just read up on things that are in. For example: data science...."
"126","@0K_ultra And frankly — in many many cases, the math is simpler than people are willing to admit. 

People want to position their value-add as automagic ""data-science"" because they think it sounds good. 🤷‍♀️"
"127","EASY PATH. On this path, you will get lots of practical skills but only an intuitive sense of the theory. I think the easiest way to start is to read a good data science book and get your hands dirty. I like to recommend ""R for Data Science"" for that. https://t.co/BlHcAOsxJX"
